divisionid~#~divisionname~#~amount~#~cgst~#~sgst~#~igst~#~filingmonth
38~#~Davanagere Division~#~5928766.00~#~531703.00~#~531703.00~#~0.00~#~Sep-23
39~#~DSM~#~1021491.66~#~91955.00~#~91955.00~#~0.00~#~Aug-23
39~#~DSM~#~1002512.00~#~90225.00~#~90225.00~#~0.00~#~Jul-23
39~#~DSM~#~690002.00~#~62100.00~#~62100.00~#~0.00~#~Jun-23
39~#~DSM~#~577022.00~#~51930.00~#~51930.00~#~0.00~#~May-23
39~#~DSM~#~963930.00~#~86753.70~#~86753.70~#~0.00~#~Nov-23
39~#~DSM~#~1039953.70~#~93595.84~#~93595.84~#~0.00~#~Oct-23
39~#~DSM~#~1007045.75~#~90656.00~#~90656.00~#~0.00~#~Sep-23
40~#~E and S~#~25000.00~#~2250.00~#~2250.00~#~0.00~#~Aug-23
40~#~E and S~#~284.00~#~26.00~#~26.00~#~0.00~#~Jul-23
40~#~E and S~#~11575.00~#~1042.00~#~1042.00~#~0.00~#~Jun-23
40~#~E and S~#~31350.00~#~2824.00~#~2824.00~#~0.00~#~May-23
40~#~E and S~#~1800.00~#~162.00~#~162.00~#~0.00~#~Nov-23
41~#~Harihara Division~#~2354677.00~#~212166.00~#~212166.00~#~0.00~#~Aug-23
41~#~Harihara Division~#~2439591.00~#~219813.00~#~219813.00~#~0.00~#~Jul-23
41~#~Harihara Division~#~2528781.00~#~227854.00~#~227854.00~#~0.00~#~Jun-23
41~#~Harihara Division~#~3182249.00~#~286636.00~#~286636.00~#~0.00~#~May-23
41~#~Harihara Division~#~1650396.34~#~148535.67~#~148535.67~#~0.00~#~Nov-23
41~#~Harihara Division~#~2680842.00~#~241275.78~#~241275.78~#~0.00~#~Oct-23
41~#~Harihara Division~#~2287652.00~#~206144.00~#~206144.00~#~0.00~#~Sep-23
42~#~Hebbal Division~#~24350098.00~#~2192011.00~#~2192011.00~#~0.00~#~Aug-23
42~#~Hebbal Division~#~22935089.00~#~2064553.00~#~2064553.00~#~0.00~#~Jul-23
42~#~Hebbal Division~#~22894560.00~#~2060925.00~#~2060925.00~#~0.00~#~Jun-23
42~#~Hebbal Division~#~19553355.00~#~1760299.00~#~1760299.00~#~0.00~#~May-23
42~#~Hebbal Division~#~17859736.00~#~1607376.24~#~1607376.24~#~0.00~#~Nov-23
42~#~Hebbal Division~#~17257848.00~#~1553206.32~#~1553206.32~#~0.00~#~Oct-23
42~#~Hebbal Division~#~18020716.00~#~1622362.00~#~1622362.00~#~0.00~#~Sep-23
43~#~Hiriyur Division~#~300.00~#~27.00~#~27.00~#~0.00~#~Apr-23
43~#~Hiriyur Division~#~3070821.76~#~276682.00~#~276682.00~#~0.00~#~Aug-23
43~#~Hiriyur Division~#~3508293.00~#~316097.00~#~316097.00~#~0.00~#~Jul-23
43~#~Hiriyur Division~#~2216378.00~#~199763.00~#~199763.00~#~0.00~#~Jun-23
43~#~Hiriyur Division~#~3278279.00~#~295362.00~#~295362.00~#~0.00~#~May-23
43~#~Hiriyur Division~#~5211550.02~#~469039.18~#~469039.18~#~0.00~#~Nov-23
43~#~Hiriyur Division~#~2143608.90~#~192924.41~#~192924.41~#~0.00~#~Oct-23
43~#~Hiriyur Division~#~2103320.00~#~189363.00~#~189363.00~#~0.00~#~Sep-23
44~#~Hosakote Division~#~300.00~#~27.00~#~27.00~#~0.00~#~Apr-23
44~#~Hosakote Division~#~31354713.00~#~2822032.00~#~2822032.00~#~0.00~#~Aug-23
44~#~Hosakote Division~#~28729948.00~#~2585862.00~#~2585862.00~#~0.00~#~Jul-23
44~#~Hosakote Division~#~32673364.00~#~2940232.00~#~2940232.00~#~0.00~#~Jun-23
